2.000780,	995429,	0,	1372117,	303988,	930142230,	229928,	0,	578,	0,	254764172,	9865,	19246,	394641,	4396,	148798041,	0,	1079321066,	760553,	
2.000557,	237776,	0,	83623,	13058,	990682475,	27379,	0,	564,	0,	265736108,	813,	3140,	41417,	918,	149445488,	0,	1122375498,	258622,	
2.000665,	200018,	0,	319395,	15515,	985425913,	31977,	0,	628,	0,	252455822,	1835,	10189,	45217,	2766,	152823708,	0,	1135839624,	260949,	
2.000644,	164861,	0,	67978,	11051,	971734383,	19416,	0,	612,	0,	262038510,	2060,	3952,	52256,	517,	154743450,	0,	1143520481,	170169,	
2.000630,	323862,	0,	991601,	17134,	941605854,	80092,	0,	492,	0,	260197791,	1790,	11536,	50982,	3264,	149455234,	0,	1117193140,	313733,	
2.000609,	421603,	0,	390166,	18427,	983297106,	42978,	0,	583,	0,	262797883,	3100,	9529,	133423,	1912,	150618394,	0,	1087908541,	382001,	
2.000638,	97505,	0,	34463,	11018,	992277804,	27675,	0,	568,	0,	263206103,	1437,	3894,	32597,	495,	148728814,	0,	1131298038,	221534,	
2.000636,	383638,	0,	437253,	15773,	980708740,	42019,	0,	646,	0,	252616791,	2590,	9943,	154968,	1632,	151190180,	0,	1119071288,	350041,	
2.000646,	174787,	0,	206431,	14068,	953820311,	56560,	0,	751,	0,	258498070,	1576,	3719,	66960,	1935,	154012191,	0,	1141953537,	256137,	
2.000559,	160138,	0,	413830,	19434,	969954091,	19276,	0,	811,	0,	264167994,	2196,	2171,	52780,	3067,	154294298,	0,	1132390129,	225574,	
2.000652,	305936,	0,	140374,	12194,	996441147,	5702,	0,	529,	0,	266037999,	1246,	2543,	34313,	838,	148626158,	0,	1070614103,	231740,	
2.000636,	1637294,	0,	1823615,	27225,	922455231,	358361,	0,	670,	0,	241265770,	11931,	43431,	567744,	2258,	137076530,	0,	1064800669,	1010024,	
2.000695,	398097,	0,	235190,	16101,	978260875,	91485,	0,	708,	0,	251572810,	3005,	14494,	157414,	1396,	153191748,	0,	1128328816,	418456,	
2.000611,	242491,	0,	311328,	15825,	929560233,	53292,	0,	755,	0,	263946341,	1191,	6144,	59586,	2732,	153608003,	0,	1135980660,	315279,	
2.000572,	190690,	0,	366815,	14418,	988333640,	7278,	0,	560,	0,	265056368,	2572,	4685,	81776,	993,	154102050,	0,	1115470915,	232548,	
2.000556,	132912,	0,	86442,	16049,	987902090,	8880,	0,	579,	0,	264616668,	803,	2081,	62522,	1552,	148924386,	0,	1113728247,	238557,	
2.000553,	165806,	0,	117098,	13816,	988966680,	42752,	0,	665,	0,	255321931,	2436,	5319,	69330,	1763,	152627807,	0,	1139791596,	265720,	
2.000572,	630509,	0,	1008985,	22379,	937232726,	210272,	0,	999,	0,	247073382,	6518,	21580,	389827,	4189,	146024912,	0,	1098017190,	744832,	
2.000580,	280612,	0,	331297,	14718,	958232269,	19702,	0,	890,	0,	265159422,	669,	11445,	29380,	2085,	153953297,	0,	1140281748,	221694,	
2.000665,	173522,	0,	80695,	12978,	975822829,	24080,	0,	509,	0,	263493290,	1338,	3952,	34233,	642,	152168742,	0,	1111776759,	248231,	
2.000613,	256133,	0,	261542,	20667,	967285833,	50155,	0,	705,	0,	252364499,	4381,	9451,	187880,	2735,	143918979,	0,	1084375045,	525763,	
2.000556,	332577,	0,	117016,	12110,	995547627,	11190,	0,	620,	0,	249078137,	2565,	3180,	66112,	1053,	154286007,	0,	1117457207,	158372,	
2.000641,	130728,	0,	142276,	12196,	966263240,	25867,	0,	658,	0,	259551322,	900,	2676,	31805,	737,	155119393,	0,	1144370769,	155293,	
2.000717,	206085,	0,	200521,	16822,	965384272,	16979,	0,	601,	0,	264992491,	731,	3048,	36248,	1877,	153447712,	0,	1131350182,	233290,	
2.000707,	112870,	0,	77349,	12487,	992786018,	6278,	0,	582,	0,	264983283,	942,	4681,	63601,	688,	150973350,	0,	1105845663,	219317,	
2.000674,	694224,	0,	777309,	19188,	961997512,	145946,	0,	581,	0,	258094154,	5458,	17178,	216881,	2305,	147169521,	0,	1098429985,	496676,	
2.000704,	1274943,	0,	1595375,	28512,	921394871,	419760,	0,	678,	0,	235960449,	8754,	33024,	549382,	3973,	144212752,	0,	1077143996,	926010,	
2.000649,	156986,	0,	216061,	12855,	960831094,	6348,	0,	590,	0,	265962300,	806,	2381,	51204,	519,	154926381,	0,	1141860643,	213910,	
2.000723,	239534,	0,	144603,	17055,	975173532,	28355,	0,	612,	0,	264740449,	694,	10162,	46267,	1978,	153234605,	0,	1126588673,	317711,	
2.000691,	96970,	0,	89986,	13499,	980291295,	14226,	0,	559,	0,	263004290,	1158,	3411,	100278,	568,	149695983,	0,	1106095066,	224012,	
2.000605,	132686,	0,	58112,	12345,	987127468,	35809,	0,	606,	0,	257016897,	2011,	5123,	110492,	1175,	152204230,	0,	1142961186,	182488,	
2.000629,	576468,	0,	914282,	19946,	962414054,	65240,	0,	769,	0,	251374973,	7688,	18066,	215264,	3696,	151348359,	0,	1116866513,	442512,	
2.000609,	1601764,	0,	1959863,	27155,	897317199,	332638,	0,	661,	0,	249595179,	8734,	38206,	494990,	4863,	140536015,	0,	1057656712,	923836,	
2.000738,	797685,	0,	900064,	24557,	948308909,	231326,	0,	557,	0,	252618226,	8044,	18826,	331403,	3954,	145506342,	0,	1074129592,	782411,	
2.000554,	342278,	0,	335776,	21040,	984423527,	58664,	0,	579,	0,	256831120,	4806,	15093,	155834,	4386,	146857654,	0,	1102026890,	489860,	
